cve_id,package_guess,cwe_id,cvss_base_score,cvss_exploitability,vuln_count_12m,days_since_patch,patch_lag_days,has_exploit,dependency_depth,maintainer_activity,severity_label
CVE-2017-10355,the,NVD-CWE-noinfo,5.3,3.9,77.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-10356,the,NVD-CWE-noinfo,6.2,2.5,78.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-10357,the,NVD-CWE-noinfo,5.3,3.9,79.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-10380,the,NVD-CWE-noinfo,4.7,1.6,80.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-10386,the,NVD-CWE-noinfo,4.8,1.7,81.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-10388,the,NVD-CWE-noinfo,7.5,1.6,82.0,0.0,0.0,0,0.0,0.0,HIGH
CVE-2017-12628,server,CWE-502,7.8,1.8,1.0,,,0,,,HIGH
CVE-2017-1209,and,CWE-79,5.4,2.3,125.0,,,0,,,MEDIUM
CVE-2017-1583,for,CWE-200,7.5,3.9,9.0,,,0,,,HIGH
CVE-2017-15885,the,CWE-79,6.1,2.8,83.0,0.0,0.0,1,0.0,0.0,MEDIUM
CVE-2017-1164,vulnerable,CWE-79,5.4,2.3,54.0,,,0,,,MEDIUM
CVE-2017-1169,next,CWE-79,5.4,2.3,1.0,773.0,773.0,0,0.0,0.0,MEDIUM
CVE-2017-1363,vulnerable,CWE-79,5.4,2.3,55.0,,,0,,,MEDIUM
CVE-2017-15911,before,CWE-79,4.8,1.7,25.0,2238.0,2238.0,0,0.0,0.0,MEDIUM
CVE-2012-4378,scripting,CWE-79,6.1,2.8,25.0,,,0,,,MEDIUM
CVE-2017-1521,and,CWE-79,6.1,2.8,126.0,,,0,,,MEDIUM
CVE-2017-5085,implementation,CWE-79,6.1,2.8,3.0,,,0,,,MEDIUM
CVE-2017-5094,confusion,CWE-843,6.5,2.8,1.0,1786.0,1786.0,0,0.0,0.0,MEDIUM
CVE-2017-5118,prior,CWE-732,4.3,2.8,5.0,1781.0,1781.0,0,2.0,0.0,MEDIUM
CVE-2017-7733,vulnerability,CWE-79,6.1,2.8,15.0,,,0,,,MEDIUM
CVE-2016-5003,library,CWE-502,9.8,3.9,1.0,3180.0,3180.0,1,7.0,5.83,CRITICAL
CVE-2012-0881,before,CWE-399,7.5,3.9,25.0,2234.0,2234.0,0,0.0,0.0,HIGH
CVE-2014-0073,class,CWE-264,9.8,3.9,2.0,0.0,0.0,0,0.0,0.0,CRITICAL
CVE-2015-9245,default,CWE-284,9.8,3.9,2.0,,,0,,,CRITICAL
CVE-2016-3048,and,CWE-79,5.4,2.3,127.0,,,0,,,MEDIUM
CVE-2017-1147,and,CWE-79,5.4,2.3,128.0,,,0,,,MEDIUM
CVE-2017-1290,and,CWE-79,5.4,2.3,129.0,,,0,,,MEDIUM
CVE-2017-1553,and,CWE-79,5.4,2.3,130.0,,,0,,,MEDIUM
CVE-2017-1000138,before,CWE-79,5.4,2.3,25.0,2230.0,2230.0,1,0.0,0.0,MEDIUM
CVE-2017-1000144,before,CWE-79,4.8,1.7,26.0,2230.0,2230.0,1,0.0,0.0,MEDIUM
CVE-2017-1000146,before,CWE-79,5.4,2.3,27.0,2230.0,2230.0,1,0.0,0.0,MEDIUM
CVE-2015-7501,and,CWE-502,9.8,3.9,131.0,,,0,,,CRITICAL
CVE-2017-16567,vulnerability,CWE-79,5.4,2.3,16.0,,,1,,,MEDIUM
CVE-2017-16568,vulnerability,CWE-79,5.4,2.3,17.0,,,0,,,MEDIUM
CVE-2017-16782,before,CWE-79,6.1,2.8,28.0,2223.0,2223.0,0,0.0,0.0,MEDIUM
CVE-2017-12635,differences,CWE-269,9.8,3.9,1.0,3071.0,3071.0,0,0.0,0.17,CRITICAL
CVE-2017-16833,scripting,CWE-79,6.1,2.8,18.0,,,0,,,MEDIUM
CVE-2017-12633,component,CWE-502,9.8,3.9,5.0,0.0,0.0,0,0.0,0.0,CRITICAL
CVE-2017-12634,component,CWE-502,9.8,3.9,6.0,0.0,0.0,0,0.0,0.0,CRITICAL
CVE-2014-3150,allows,CWE-254,8.8,2.8,20.0,562.0,562.0,0,0.0,0.0,HIGH
CVE-2017-1000193,build,CWE-79,6.1,2.8,1.0,3156.0,3156.0,0,3.0,1.33,MEDIUM
CVE-2017-1000209,client,CWE-295,5.9,2.2,1.0,,,0,,,MEDIUM
CVE-2017-1000223,stored,CWE-79,5.4,2.3,1.0,,,0,,,MEDIUM
CVE-2017-1000192,version,NVD-CWE-noinfo,9.8,3.9,4.0,0.0,0.0,0,0.0,0.0,CRITICAL
CVE-2017-16819,stored,CWE-79,5.4,2.3,2.0,,,1,,,MEDIUM
CVE-2017-8864,enforcement,CWE-693,9.8,3.9,1.0,,,0,,,CRITICAL
CVE-2017-8153,with,CWE-275,7.1,1.8,2.0,552.0,552.0,0,0.0,0.0,HIGH
CVE-2017-16962,components,CWE-79,6.1,2.8,1.0,2481.0,2481.0,1,0.0,0.0,MEDIUM
CVE-2017-1001002,before,CWE-94,9.8,3.9,29.0,2206.0,2206.0,0,0.0,0.0,CRITICAL
CVE-2017-1001004,before,CWE-94,8.8,2.8,30.0,2206.0,2206.0,0,0.0,0.0,HIGH
CVE-2017-1461,and,CWE-79,5.4,2.3,132.0,,,0,,,MEDIUM
CVE-2017-1560,and,CWE-79,5.4,2.3,133.0,,,0,,,MEDIUM
CVE-2017-1593,and,CWE-79,5.4,2.3,134.0,,,0,,,MEDIUM
CVE-2017-1607,vulnerable,CWE-79,5.4,2.3,57.0,,,0,,,MEDIUM
CVE-2017-1650,vulnerable,CWE-79,5.4,2.3,58.0,,,0,,,MEDIUM
CVE-2017-1678,and,CWE-79,5.4,2.3,135.0,,,0,,,MEDIUM
CVE-2017-1688,vulnerable,CWE-79,5.4,2.3,59.0,,,0,,,MEDIUM
CVE-2017-1689,vulnerable,CWE-79,5.4,2.3,60.0,,,0,,,MEDIUM
CVE-2016-10702,devices,CWE-200,6.1,1.8,2.0,,,0,,,MEDIUM
CVE-2017-17096,scripting,CWE-79,6.1,2.8,19.0,,,0,,,MEDIUM
CVE-2017-16856,macro,CWE-79,6.1,2.8,1.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-1354,vulnerable,CWE-79,5.4,2.3,61.0,,,0,,,MEDIUM
CVE-2017-1482,vulnerable,CWE-79,5.4,2.3,62.0,,,0,,,MEDIUM
CVE-2017-1498,vulnerable,CWE-79,5.4,2.3,63.0,,,0,,,MEDIUM
CVE-2017-14386,web,CWE-79,6.1,2.8,2.0,,,0,,,MEDIUM
CVE-2017-16370,issue,CWE-125,8.8,2.8,24.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16371,issue,CWE-119,8.8,2.8,25.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16372,issue,CWE-119,8.8,2.8,26.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16375,issue,CWE-119,8.8,2.8,27.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16388,issue,CWE-416,8.8,2.8,28.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16389,issue,CWE-416,8.8,2.8,29.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16390,issue,CWE-416,8.8,2.8,30.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16393,issue,CWE-416,8.8,2.8,31.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16398,issue,CWE-416,9.8,3.9,32.0,1530.0,1530.0,0,0.0,0.0,CRITICAL
CVE-2017-16414,issue,CWE-125,8.8,2.8,33.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-16419,issue,CWE-674,6.5,2.8,34.0,1530.0,1530.0,0,0.0,0.0,MEDIUM
CVE-2017-16420,issue,CWE-125,8.8,2.8,35.0,1530.0,1530.0,0,0.0,0.0,HIGH
CVE-2017-15708,default,CWE-74,9.8,3.9,3.0,,,0,,,CRITICAL
CVE-2017-11507,cross,CWE-79,6.1,2.8,2.0,0.0,0.0,1,0.0,0.0,MEDIUM
CVE-2017-1536,for,CWE-79,5.4,2.3,10.0,,,0,,,MEDIUM
CVE-2017-1549,vulnerable,CWE-79,5.4,2.3,64.0,,,0,,,MEDIUM
CVE-2017-1632,vulnerable,CWE-79,5.4,2.3,65.0,,,0,,,MEDIUM
CVE-2017-1683,vulnerable,CWE-79,5.4,2.3,66.0,,,0,,,MEDIUM
CVE-2017-14589,was,CWE-20,9.6,2.8,3.0,1046.0,1046.0,0,0.0,0.0,CRITICAL
CVE-2017-1421,vulnerable,CWE-79,6.1,2.8,67.0,,,0,,,MEDIUM
CVE-2017-1546,and,CWE-79,5.4,2.3,136.0,,,0,,,MEDIUM
CVE-2017-17792,site,CWE-79,6.1,2.8,3.0,,,0,,,MEDIUM
CVE-2017-4940,before,CWE-79,6.1,2.8,29.0,2183.0,2183.0,0,0.0,0.0,MEDIUM
CVE-2017-17752,has,CWE-79,6.1,2.8,3.0,340.0,340.0,1,0.0,0.0,MEDIUM
CVE-2017-1494,vulnerable,CWE-79,5.4,2.3,68.0,,,0,,,MEDIUM
CVE-2017-1600,vulnerable,CWE-79,5.4,2.3,69.0,,,0,,,MEDIUM
CVE-2017-1751,with,CWE-79,5.4,2.3,3.0,524.0,524.0,0,0.0,0.0,MEDIUM
CVE-2017-17745,scripting,CWE-79,5.4,2.3,20.0,,,0,,,MEDIUM
CVE-2017-17692,allows,CWE-200,7.5,3.9,19.0,526.0,526.0,1,0.0,0.0,HIGH
CVE-2017-1365,including,CWE-79,5.4,2.3,1.0,,,0,,,MEDIUM
CVE-2017-17832,before,CWE-79,5.4,2.3,29.0,2176.0,2176.0,1,0.0,0.0,MEDIUM
CVE-2017-17859,allows,CWE-79,6.1,2.8,20.0,521.0,521.0,0,0.0,0.0,MEDIUM
CVE-2017-5641,versions,CWE-502,9.8,3.9,14.0,2250.0,2250.0,0,1.0,0.0,CRITICAL
CVE-2013-4578,jarsigner,CWE-74,5.3,3.9,1.0,,,0,,,MEDIUM
CVE-2014-3630,external,CWE-611,9.8,3.9,3.0,714.0,714.0,0,0.0,0.0,CRITICAL
CVE-2018-3810,vulnerability,CWE-287,9.8,3.9,19.0,,,1,,,CRITICAL
CVE-2017-1000425,scripting,CWE-79,6.1,2.8,21.0,,,0,,,MEDIUM
CVE-2017-1000463,version,CWE-79,5.4,2.3,6.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-1000466,version,CWE-79,5.4,2.3,7.0,0.0,0.0,1,0.0,0.0,MEDIUM
CVE-2017-1000467,version,CWE-79,5.4,2.3,8.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-1000478,version,CWE-79,5.4,2.3,9.0,0.0,0.0,1,0.0,0.0,MEDIUM
CVE-2017-1000481,you,CWE-601,6.1,2.8,1.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-1000482,member,CWE-79,5.4,2.3,1.0,676.0,676.0,0,0.0,0.0,MEDIUM
CVE-2017-1000462,version,CWE-79,5.4,2.3,10.0,0.0,0.0,1,0.0,0.0,MEDIUM
CVE-2017-8046,requests,CWE-20,9.8,3.9,1.0,3052.0,3052.0,0,10.0,1.17,CRITICAL
CVE-2017-1673,and,CWE-79,6.1,2.8,137.0,,,0,,,MEDIUM
CVE-2018-5071,exists,CWE-79,5.4,2.3,2.0,,,1,,,MEDIUM
CVE-2017-1000465,version,CWE-79,5.4,2.3,11.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2016-10256,and,CWE-79,6.1,2.8,138.0,,,0,,,MEDIUM
CVE-2016-10257,and,CWE-79,6.1,2.8,139.0,,,0,,,MEDIUM
CVE-2017-1533,vulnerable,CWE-79,6.1,2.8,70.0,,,0,,,MEDIUM
CVE-2017-1623,and,CWE-79,6.1,2.8,140.0,,,0,,,MEDIUM
CVE-2017-16514,persistent,CWE-79,6.1,2.8,2.0,3057.0,3057.0,0,10.0,16.17,MEDIUM
CVE-2017-1681,for,CWE-200,3.3,1.8,11.0,,,0,,,LOW
CVE-2017-1739,and,CWE-79,5.4,2.3,140.0,,,0,,,MEDIUM
CVE-2017-1740,and,CWE-79,5.4,2.3,141.0,,,0,,,MEDIUM
CVE-2018-1361,and,CWE-79,6.1,2.8,142.0,,,0,,,MEDIUM
CVE-2017-14594,printable,CWE-79,6.1,2.8,1.0,3119.0,3119.0,0,1.0,0.42,MEDIUM
CVE-2017-16864,issue,CWE-79,6.1,2.8,30.0,1496.0,1496.0,0,0.0,0.0,MEDIUM
CVE-2017-13199,fails,CWE-755,7.5,3.9,1.0,,,0,,,HIGH
CVE-2018-2569,the,NVD-CWE-noinfo,7.8,1.8,84.0,0.0,0.0,0,0.0,0.0,HIGH
CVE-2018-2579,the,NVD-CWE-noinfo,3.7,2.2,85.0,0.0,0.0,0,0.0,0.0,LOW
CVE-2018-2581,the,NVD-CWE-noinfo,4.7,2.8,86.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2582,the,NVD-CWE-noinfo,6.5,2.8,87.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2588,the,NVD-CWE-noinfo,4.3,2.8,88.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2599,the,NVD-CWE-noinfo,4.8,2.2,89.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2602,the,NVD-CWE-noinfo,4.5,1.0,90.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2603,the,NVD-CWE-noinfo,5.3,3.9,91.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2618,the,NVD-CWE-noinfo,5.9,2.2,92.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2627,the,NVD-CWE-noinfo,7.5,0.8,93.0,0.0,0.0,0,0.0,0.0,HIGH
CVE-2018-2629,the,NVD-CWE-noinfo,5.3,1.6,94.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2633,the,NVD-CWE-noinfo,8.3,1.6,95.0,0.0,0.0,0,0.0,0.0,HIGH
CVE-2018-2634,the,NVD-CWE-noinfo,6.8,2.2,96.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2637,the,NVD-CWE-noinfo,7.4,2.2,97.0,0.0,0.0,0,0.0,0.0,HIGH
CVE-2018-2638,the,NVD-CWE-noinfo,8.3,1.6,98.0,0.0,0.0,0,0.0,0.0,HIGH
CVE-2018-2639,the,NVD-CWE-noinfo,8.3,1.6,99.0,0.0,0.0,0,0.0,0.0,HIGH
